Date,Stock Code,Option Code,Closing,Change,Change(%),HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-08-02,2202,VNK,23.35,-0.95,-3.91,27714.56055,27800.0,721,491,-41.48,390,689,97.99,23.00,34.0,51,53,0.00,1.51,-0.59,-28.1,1.13,1.02,0.00,1.19,+0.41,52.56,0.78,0.75,0.56,-0.44,0.03,0.03,0.42,0.97,1.47,1.59,1.72,2.21,3.09,2.43,1.84,1.4,1.3,1.19,0.75,0.44
2018-08-02,2238,GAC,7.24,-0.24,-3.21,27714.56055,27800.0,721,491,-41.48,390,689,97.99,7.25,36.0,40,43,0.29,0.32,-0.14,-30.43,0.31,0.27,0.00,0.35,+0.12,52.17,0.32,0.3,0.5,-0.49,0.01,0.01,0.07,0.15,0.3,0.34,0.38,0.53,0.81,0.82,0.55,0.41,0.38,0.34,0.21,0.11
2018-08-02,2282,MGM,16.34,-0.52,-3.08,27714.56055,27800.0,721,491,-41.48,390,689,97.99,16.50,45.0,43,40,0.55,0.64,-0.25,-28.09,0.81,0.71,0.00,0.91,+0.29,46.77,0.97,0.93,0.48,-0.52,0.02,0.02,0.18,0.34,0.68,0.77,0.85,1.2,1.74,1.94,1.25,0.94,0.87,0.79,0.48,0.23
2018-08-02,2318,PAI,70.3,-2.05,-2.83,27714.56055,27800.0,721,491,-41.48,390,689,97.99,70.00,18.0,24,25,2.68,2.08,-1.25,-37.54,1.69,1.45,1.10,1.77,+0.95,115.85,1.38,1.37,0.52,-0.48,0.08,0.08,0.12,0.58,1.81,2.17,2.53,4.38,7.48,6.88,3.84,2.29,1.95,1.61,0.6,0.19
2018-08-02,2319,MEN,23.4,-0.55,-2.3,27714.56055,27800.0,721,491,-41.48,390,689,97.99,23.00,43.0,41,43,1.40,1.30,-0.32,-19.75,1.39,1.26,1.05,0.91,+0.25,37.88,0.99,0.94,0.57,-0.43,0.03,0.03,0.3,0.73,1.22,1.34,1.46,1.96,3.0,2.26,1.55,1.11,0.99,0.88,0.44,0.28
2018-08-02,2328,PIC,9.02,0.04,0.45,27714.56055,27800.0,721,491,-41.48,390,689,97.99,9.00,21.0,30,31,0.29,0.32,0.00,0.0,0.24,0.2,0.00,0.30,-0.01,-3.23,0.22,0.21,0.51,-0.49,0.01,0.01,0.04,0.1,0.29,0.33,0.38,0.58,0.98,0.93,0.54,0.37,0.32,0.28,0.11,0.06
2018-08-02,2333,GWM,5.6,-0.14,-2.44,27714.56055,27800.0,721,491,-41.48,390,689,97.99,5.50,34.0,41,40,0.00,0.31,-0.07,-18.42,0.27,0.25,0.22,0.20,+0.05,33.33,0.17,0.17,0.57,-0.42,0.01,0.01,0.07,0.18,0.29,0.32,0.35,0.47,0.72,0.53,0.35,0.24,0.22,0.19,0.09,0.06
2018-08-02,2382,SNO,122.8,-3.9,-3.08,27714.56055,27800.0,721,491,-41.48,390,689,97.99,122.50,48.0,51,51,7.26,7.19,-2.35,-24.63,7.25,6.48,6.60,6.76,+1.42,26.59,6.93,6.56,0.52,-0.47,0.13,0.13,2.06,4.39,7.0,7.65,8.3,10.91,14.95,14.03,10.22,7.91,7.34,6.76,4.46,2.35
2018-08-02,2388,BOC,37.0,-0.6,-1.6,27714.56055,27800.0,721,491,-41.48,390,689,97.99,37.00,18.0,19,19,0.87,0.84,-0.27,-24.32,0.79,0.67,0.46,0.76,+0.32,72.73,0.79,0.78,0.49,-0.51,0.04,0.04,0.0,0.18,0.66,0.85,1.03,2.05,3.7,3.7,2.03,1.02,0.84,0.66,0.2,0.0
2018-08-02,2600,ALC,3.27,-0.2,-5.76,27714.56055,27800.0,721,491,-41.48,390,689,97.99,3.30,44.0,42,43,0.16,0.14,-0.12,-46.15,0.16,0.14,0.13,0.17,+0.09,112.5,0.19,0.18,0.48,-0.52,0.0,0.0,0.03,0.06,0.13,0.15,0.17,0.24,0.35,0.39,0.26,0.2,0.18,0.17,0.11,0.05
